|1|Москва|Алтуфьевское ш., (въезд на эстакаду ЦРП)|114 660,00р.|http://www.gallerymedia.com/Services/Image.ashx?imageid=1CIRPEWSRHJEZNN20CKO2EMQL2|Москва, Алтуфьевское ш.||
|2|Москва|Алтуфьевское ш., д. 68|69 360,00р.|http://www.gallerymedia.com/Services/Image.ashx?imageid=RG3SI0ELFXLUZNQYMQEJFBSQJI|Москва, Алтуфьевское ш., д. 68|37.590165|55.886625
|3|Москва|Алтуфьевское ш., д. 95|69 360,00р.|http://www.gallerymedia.com/Services/Image.ashx?imageid=KDCTJYLLRFIU1LA3QCKNY23TBY|Москва, Алтуфьевское ш., д. 95|37.585682|55.901945
|4|Москва|Алтуфьевское ш.,д. 35 стр. 1 (-)|125 000,00р.|http://foto.trk-media.ru/trk-gallery/sever/1634 с А.jpg|Москва, Алтуфьевское ш.,д. 35 стр. 1|37.582763|55.864924
|5|Москва|Алтуфьевское ш.,д. 41 (-)|125 000,00р.|http://foto.trk-media.ru/trk-gallery/sever/1630 с А.jpg|Москва, Алтуфьевское ш.,д. 41|37.583805|55.868450
|6|Москва|Алтуфьевское ш.,д.29 стр. 4 (-)|125 000,00р.|http://foto.trk-media.ru/trk-gallery/sever/1637 с А.jpg|Москва, Алтуфьевское ш.,д.29 стр. 4|37.583302|55.859246
|7|Москва|Алтуфьевское ш.,д.37А стр. 2 (-)|125 000,00р.|http://foto.trk-media.ru/trk-gallery/sever/1633 с А.jpg|Москва, Алтуфьевское ш.,д.37А стр. 2|37.581766|55.865424
|8|Москва|Алтуфьевское ш.,д.66/2 (-)|125 000,00р.|http://foto.trk-media.ru/trk-gallery/sever/1595 с А.jpg|Москва, Алтуфьевское ш.,д.66/2|37.589105|55.886539
|9|Москва|Алтуфьевское ш.,д.79А стр.1 (п/п ул. Стандартная д.1)|125 000,00р.|http://foto.trk-media.ru/trk-gallery/sever/1620 с А.jpg|Москва, Алтуфьевское ш.,д.79А стр.1|37.583868|55.882873
|10|Москва|Алтуфьевское шоссе 22 (-)|125 000,00р.|http://foto.trk-media.ru/trk-gallery/sever/1570 с А.JPG|Москва, Алтуфьевское шоссе 22|37.585583|55.859266
|11|Москва|Алтуфьевское шоссе 27 (середина дома)|125 000,00р.|http://foto.trk-media.ru/trk-gallery/sever/1639 с А.jpg|Москва, Алтуфьевское шоссе 27|37.583131|55.857498
|12|Москва|Алтуфьевское шоссе 28 (позиция 1)|125 000,00р.|http://foto.trk-media.ru/trk-gallery/sever/1576 с А.jpg|Москва, Алтуфьевское шоссе 28|37.585269|55.864631
|13|Москва|Алтуфьевское шоссе 31 к.1 (-)|125 000,00р.|http://foto.trk-media.ru/trk-gallery/sever/1636 с А.jpg|Москва, Алтуфьевское шоссе 31 к.1|37.582933|55.862636
|14|Москва|Алтуфьевское шоссе 32 (-)|125 000,00р.|http://foto.trk-media.ru/trk-gallery/sever/1579 с А.jpg|Москва, Алтуфьевское шоссе 32|37.586473|55.866768
|15|Москва|Алтуфьевское шоссе 37 с.2 (-)|125 000,00р.|http://foto.trk-media.ru/trk-gallery/sever/1632 с А.jpg|Москва, Алтуфьевское шоссе 37 с.2|37.579232|55.866682
|16|Москва|Алтуфьевское шоссе 4 с.1 (-)|325 000,00р.|http://foto.trk-media.ru/trk-gallery/sever/1560 с А.jpg|Москва, Алтуфьевское шоссе 4 с.1|37.584146|55.849196
|17|Москва|Алтуфьевское шоссе 40 (-)|125 000,00р.|http://foto.trk-media.ru/trk-gallery/sever/1581 с А.jpg|Москва, Алтуфьевское шоссе 40|37.587182|55.871587
|18|Москва|Алтуфьевское шоссе 41 с.1 (-)|125 000,00р.|http://foto.trk-media.ru/trk-gallery/sever/1629 с А.jpg|Москва, Алтуфьевское шоссе 41 с.1|37.583661|55.868915
|19|Москва|Алтуфьевское шоссе 48 к.1 (-)|125 000,00р.|http://foto.trk-media.ru/trk-gallery/sever/1582 с А.jpg|Москва, Алтуфьевское шоссе 48 к.1|37.588054|55.876137
|20|Москва|Алтуфьевское шоссе 52 (позиция 1)|125 000,00р.|http://foto.trk-media.ru/trk-gallery/sever/1584 с А.jpg|Москва, Алтуфьевское шоссе 52|37.587748|55.878076
|21|Москва|Алтуфьевское шоссе 56 (-)|125 000,00р.|http://foto.trk-media.ru/trk-gallery/sever/1588 с А.jpg|Москва, Алтуфьевское шоссе 56|37.587865|55.880778
